fr,es,en,it,pt,de,zh,taxon
haricot rouge,poroto,kidney bean,fagioli rossi,feijão vermelho,rote bohne,菜豆,3
haricot vert,judía verde&habichuelas,green bean&runner bean,fagioli verdi&fagiolini,feijão verde,grüne bohne&bohnen grüne,綠豆,3
haricot&fève&févettes,haba,fava bean&broad bean,fagiolo&fave,feijão&fava&feve&fevettes,bohne&bohnen dicke&feve&fevette,蠶豆,3
lentille corail,lentes de coral,coral lentils,lenti di corallo,lentilha de coral,korallenlinse,珊瑚扁豆,3
lentille pardina,lentejas pardinas,pardina lentils,lenti pardina,lentilha pardina,pardina linse,帕爾迪納小扁豆,3
lentille&lentille verte,lente,lens,lenticchie,lente&lentilha verde&lentilhas,grüne linse&linsen,鏡片,3
lentilles blondes,lentes rubias,blonde lenses,lenti bionde,lentes loiras,blonde linsen,金發鏡片,3
luzerne,alfalfa,alfalfa,erba medica,alfafa,luzerne,苜蓿,3
petit pois,guisante,pea,pisello,ervilha,erbse&kaiserschote,豌豆,3
pois casse,de guisante,split pea,pisello spezzato,ervilhas quebradas,erbse gespalten,豌豆,3
pois chiche,garbanzo,chick pea,ceci,grão de bico,kichererbsen,鷹嘴豆,3
pois d'angole,arveja,pigeon pea,piselli piccanti,ervilha-de-pombo,taubenerbse,木豆,3
pois gourmand,guisante gourmet,greedy bean,piselli dolci,ervilha doce,edelwicken,貪心豆,3
pois mange tout,guisante de nieve,snow pea,piselli neve,ervilha da neve,schneeerbsen,雪豆,3
soja texture,soja texturizada,textured soybeans,soia strutturata,soja texturizada,strukturierte sojabohnen,大豆,3
soja vert,soja verde,green soy,soia verde,soja verde,grüne sojabohnen,綠豆,3
soja&germes de soja,haba de soja&soja,soy,soia,soja&broto de feijão,sojabohnen&sojabohnensprossen,黃豆,3
tofu,tofu,tofu,tofu,tofu,tofu,豆腐,3
bolet,boleto,boletus,boletus,boleto,steinpilz,牛肝菌,4
champignon&champignon de paris,seta&hongos&champiñones,mushroom,funghi,cogumelo,champignons,蘑菇,4
chanterelle&girolle,cuerda&níscalos&rebozuelo,chanterelle,finferli,chanterelle,pfifferling,雞油菌,4
cèpe,cep,cep,porcini,cepe,cepe,藤蔓,4
enokitake,enokitake,enokitake,enokitake,enokitake,enokitake,江之竹,4
matsutake,matsutake,matsutake,matsutake,matsutake,matsutake,松茸,4
morille,morel,morel,morel,morel,morchel,羊肚菌,4
pied de mouton,pied de mouton,pied de mouton,pied de mouton,pied de mouton,pied de mouton,皮德木桐,4
pleurote,pleuroto,pleurote,pleurote,cogumelo ostra,austernpilz,胸膜肺炎,4
portobello,portobello,portobello,portobello,portobello,portobello,貝羅貝洛,4
shiitaké,shiitake,shiitake,shiitake,shiitake,shiitake,香菇,4
shimeji,shimeji,shimeji,shimeji,shimeji,shimeji,姬路,4
truffe,trufa,truffle,tartufo,trufa,truffel,松露,4
amande,almendra,almond,mandorla,amêndoa,mandel,杏仁,5
cacahuète&arachide,cacahuete&maní,peanut,arachidi,amendoim,erdnuss,花生,5
marron&châtaigne,castaña,chestnut,marrone&castagne,castanha,kastanie&marone,板栗,5
noisette,avellana,hazelnut,noce&nocciola,avelã,haselnuss,榛子,5
noix,nuez&nueces de nogal,walnut&nuts,noci,noz,walnuss,核桃,5
noix de bétel,nuez de betel,betel nut,noci di betel,noz de betele,betelnuss,檳榔,5
noix de cajou,anacardo,cashew,anacardi,caju,cashewnuss,腰果,5
noix de cardamome,nuez de cardamomo,cardamom nut,noce di cardamomo,noz de cardamomo,kardamomnuss,小荳蔻堅果,5
noix de coco,coco,coconut,noce di cocco,coco,kokosnuss,椰子,5
noix de macadamia,nuez de macadamia,macadamia nut,noce di macadamia,noz de macadamia,macadamianuss,澳大利亞堅果,5
noix de pecan,nuez de pecán,pecan nut,noce di pecan,noz peca,pekannuss,山核桃,5
noix du brésil,nuez de brasil,brazil nut,noce di brasile,noz-do-brasil,paranuss,巴西堅果,5
pistache,pistacho,pistachio,pistacchio,pistácio,pistazie,開心果,5
alaria,alaria,alaria,alaria,alaria,alaria,阿拉里亞,6
arame,árame,arame,arame,arame,arame,阿拉姆,6
dulse,dulse,dulse,dulse,dulse,dulse,杜爾塞,6
hijiki,hijiki,hijiki,hijiki,hijiki,hijiki,日式,6
irish moss,irish moss,irish moss,muschio irlandese,musgo irlandês,irisches moos,愛爾蘭苔蘚,6
kombu,kombu,kombu,kombu,kombu,kombu,海布,6
nori,nori,nori,nori,nori,nori,紫菜,6
spiruline,espirulina,spirulina,spirulina,spirulina,spirulina,螺旋藻,6
varech,quelpo,kelp,alghe,kelp&alga marinha,seetang,海帶,6
wakame,wakame,wakame,wakame,wakame,wakame,裙帶菜,6
agretti,agretti,agretti,agretti,agretti,agretti,阿格雷蒂,7
aloe vera,aloe vera,aloe vera,aloe vera,aloe vera&babosa,aloe vera,蘆薈,7
amarante,amaranto,amaranth,amaranto,amaranto,amaranth,莧菜,7
chia,chía,chia seeds,chia,chia,chia,嘉種子,7
chicorée&puntarelle,achicoria,chicory,cicoria&puntarelle,chicória,chicoree,菊苣,7
cornichon,pepinillo,pickle,sottaceto,picles,essiggurke,泡菜,7
câpre,alcaparra,caper,cappero,alcaparra,kapern,跳躍,7
graine de lin,linaza,linseed,semi di lino,semente de linho,leinsamen,亞麻籽,7
graine de tournesol,pipas de girasol&pipas,sunflower seed,semi di girasole,semente de girassol,sonnenblumenkerne,葵花籽,7
graines de citrouille,pipas de calabaza,pumpkin seeds,semi di zucca,sementes de abóbora,kürbiskerne,南瓜子,7
graines de fenouille,semillas de hinojo,fennel seeds,semi di finocchio,sementes de funcho,fenchelsamen,茴香種子,7
graines de pavot,semillas de amapola,poppy seeds,semi di papavero,sementes de papoila,mohnsamen,罌粟種子,7
ortie,ortiga,nettle,ortica,urtiga,brennnessel,蕁麻,7
psyllium,psyllium,psyllium,psillio,psyllium,flohsamen,車前草,7
rooibos,rooibos,rooibos,rooibos,rooibos,rooibos,如意寶,7
souchet,chufa,chufa,mestolone,souchet,souchet,楚發,7
tapioca,tapioca,tapioca,tapioca,tapioca,tapioka,木薯,7
aneth,eneldo,dill,aneto,endro,dill,蒔蘿,8
basilic,albahaca,basil,basilico,manjericão,basilikum,羅勒,8
cannabis&zamal&chanvre,marijuana,weed,marijuana&canapa,maconha,marihuana,雜草,8
cerfeuil,perifollo,chervil,cerfoglio,cerefolio,kerbel,細葉芹,8
ciboulette,cebollino,chive,erba cipollina,cebolinha,schnittlauch,細香蔥,8
citronnelle,citronela,citronella,citronella,capim limão,zitronengras,香茅,8
coriandre,cilantro,cilantro,coriandolo,coentro,koriander,香菜,8
estragon,estragón,tarragon,dragoncello,estragão,estragon,龍蒿,8
herbes aromatiques&bouquet garni&herbes de provence,hierbas aromáticas&herbá de la proviencia,aromatic herbs&herbs,erbe aromatiche&herbes de provence,ervas aromáticas&ervas da provence,aromatische krauter&provence krauter,香草,8
laurier,laurel,laurel,alloro,folha de louro,lorbeerblatt,月桂樹,8
lavande,lavanda,lavander,lavanda,lavanda,lavendel,薰衣草,8
livèche,levistico,lovage,levistico,levístico,liebstöckel,独活草,8
marjolaine,mejorana,marjoram,maggiorana,manjerona,majoran,馬鬱蘭,8
menthe&menthe poivrée,menta&hierbabuena,mint&peppermint,menta&menta piperita,hortelã&hortelã pimenta,minze&pfefferminze,薄荷,8
mélisse,toronjil,melissa,melissa,erva-cidreira,zitronenmelisse,梅利莎,8
origan,orégano,oregano,origano,oregano,oregano,牛至,8
oseille,alazán,sorrel,acetosa,azeda,sauerampfer,酢漿草,8
persil,perejil,parsley,prezzemolo,salsinha,petersilie,香菜,8
purslane,verdolaga,purslane,portulaca,beldroega,portulak,马齿苋,8
romarin,romero,rosemary,rosmarino,alecrim,rosmarin,迷迭香,8
sarriette,ajedrea,savory,salato,salgado,bohnenkraut,美味的,8
sauge,salvia,sage,salvia,sálvia,salbei,智者,8
thym&serpolet,tomillo,thyme,timo,tomilho,thymian,百里香,8
verveine,verbena,verbena,verbena,verbena,eisenkraut,馬鞭草,8
anis vert,anís verde,green anise,anice verde,anis-verde,grüner anis,綠茴香,101
anis&anis étoilé&badiane,anís&anís estrellado,anise,anice,anis&anis estrelado,anis&sternanis,八角,101
baie de genièvre,baya de enebro,juniper berry,bacca ginepro,zimbro,wacholderbeere,杜松子,101
café,café,coffee,caffè,café,kaffee,咖啡,101
cannelle,canela,cinnamon,cannella,canela,zimt,肉桂,101
cardamome,cardamomo,cardamom,cardamomo,cardamomo,kardamom,小荳蔻,101
chaat masala,chaat masala,chaat masala,chaat masala,masala chaat,masala chaat,chaat masala,101
cinq baies,cinco bahías,five bays,cinque bacche,cinco bagas,funf beeren,五個海灣,101
cinq épices,cinco especias,five spices,cinque spezie,cinco especiarias,funf gewürze,五種香料,101
clou de girofle,clavo,clove,chiodi di garofano,cravo,nelken,丁香,101
cumin noir,comino negro,black cumin,cumino nero,cominho preto,schwarzkümmel,黑孜然,101
cumin&carvi,comino&alcaravea,cumin&carvi,cumino,cominho,kreuzkümmel&kümmel,孜然,101
curcuma,cúrcuma,turmeric,curcuma,curcuma,kurkuma,薑黃,101
curry,curri,curry,curry,caril,curry,咖哩,101
garam masala&massala,garam masala,garam masala,garam masala,garam masala&massala,garam masala&massala,加拉姆·馬薩拉,101
gingembre,jengibre&raíz de jengibre,ginger,zenzero,gengibre,ingwer,生薑,101
harissa,harissa,harissa,harissa,harissa,harissa,哈里薩辣醬,101
lin moulu,lino molido&lino,grounded linen,lino macinato,linho moído,gemahlener flachs,亞麻床單,101
macis,maza,mace,macis,maza,muskatblüte,錘,101
maniguette,maniguette,maniguette,maniguette,maniguete,maniguette,maniguette,101
nigelle,nigella,nigella,nigella,nigella,nigella,黑黴菌,101
noix de muscade,nuez moscada,nutmeg,noce moscata,noz-moscada,muskatnuss,肉荳蔻,101
panch phoran,panch phoran,panch phoran,panch phoran,panch phoran,panch phoran,潘芙蓉,101
paprika,paprika&pimentón,paprika,paprika,paprica,paprika,辣椒,101
paprika fume,pimentón ahumado,smoked paprika,paprika affumicato,paprica defumada,geräucherter paprika,熏制辣椒粉,101
pavot,amapola,poppy,papavero,papoula,mohn,罌粟,101
piment d'alep,pimienta alepo,aleppo pepper,pepe alep,pimenta alep,alep pfeffer,阿勒頗胡淑,101
piment oiseau,pimienta de pájaro,chili pepper,pepe uccello,pimenta de pássaro,vogel pfeffer,辣椒,101
poivre blanc,pimienta blanca,white pepper,pepe bianco,pimenta-branca,weißer pfeffer,白胡椒,101
poivre rose&baie rose,pimienta rosa,pink pepper,pepe rosa,pimenta rosa&baga rosa,rosa pfeffer&rosa beere,粉紅胡椒,101
poivre vert,pimienta verde,green pepper,pepe verde,pimenta-verde,grüner pfeffer,綠皮書,101
poivre&poivre noir,pimienta,pepper,pepe,pimenta&pimenta-preta,pfeffer&schwarzer pfeffer,胡椒,101
quatre épices&poivre de la jamaïque,pimienta de jamaica,allspice,quattro spezie,quatro especiarias&pimenta jamaicana,vier gewürze&jamaikanischer pfeffer,多香果粉,101
ras el hanout,ras el hanout,ras el hanout,ras el hanout,ras el hanout,ras el hanout,拉斯埃爾哈努特,101
safran,azafrán,saffron,zafferano,açafrão,safran,藏紅花,101
sel de céleri,sal de apio,celery salt,sale di sedano,sal de aipo,selleriesalz,芹菜鹽,101
sel rose de l'himalaya,sal rosa del himalaya,pink salt of the himalayas,sale rosa dell himalaya,sal rosa do himalaia,rosa himalaya salz,喜馬拉雅山的粉紅鹽,101
sel&fleur de sel,sal&sal marina,salt,sale,sal&flor de sal,salz&fleur de sel,鹽,101
sumac,zumaque,sumac,sommacco,sumagre,sumach,相撲,101
sweet vera paprika,pimentón de la vera dulce,sweet vera paprika,paprika dolce vera,paprica doce de vera,susser vera paprika,甜維拉辣椒粉,101
sésame&graines de sésame,sésamo,sesame,sesame,sementes de gergelim&gergelim,sesam,芝麻,101
tabasco,tabasco,tabasco,tabasco,tabasco,tabasco,塔巴斯科,101
vanille,vainilla,vanilla,vaniglia,baunilha,vanille,香草,101
wasabi,wasabi,wasabi,wasabi,wasabi,wasabi,芥末,101
bicarbonate,bicarbonato,bicarbonate,bicarbonato,bicarbonato,bikarbonat,碳酸氫鹽,101
bouillon de légumes&bouillon,caldo de verdura,vegetable broth,brodo vegetale,caldo de legumes&vegetais,gemüsebrühe&brühe,蔬菜湯,102
dashi,dashi,dashi,dashi,dashi,dashi,大石,102
eau&glaçon,agua&hielo,water&ice,acqua&ghiaccio,agua&gelo,wasser&eis,水,102
